Rank,Player_Name
1,Ricky Wysocki
2,Eagle McMahon
3,Paul McBeth
4,Calvin Heimburg
5,Chris Dickerson
6,Adam Hammes
7,Kyle Klein
8,Andrew Marwede
9,Matthew Orum
10,Kevin Jones
11,Mason Ford
12,Nate Sexton
13,Väinö Mäkelä
14,Cale Leiviska
15,James Conrad
16,Andrew Presnell
17,Drew Gibson
18,Simon Lizotte
19,Joel Freeman
20,Matt Bell
21,Niklas Anttila
22,Garrett Gurthie
23,Lauri Lehtinen
24,Bradley Williams
25,Gannon Buhr
26,Corey Ellis
27,Nikko Locastro
28,Anthony Barela
29,Gavin Rathbun
30,James Proctor
31,Ben Callaway
32,Jeremy Koling
33,Seppo Paju
34,Gregg Barsby
35,Emerson Keith
36,Thomas Gilbert
37,Paul Ulibarri
38,Chris Clemons
39,Nathan Queen
40,JohnE McCray
41,Connor O'Reilly
42,Zackeriath Johnson
43,Ezra Robinson
44,Austin Hannum
45,Alden Harris
46,Ezra Aderhold
47,Raven Newsom
48,Alex Russell
49,Jesse Nieminen
50,Albert Tamm
51,Tim Barham
52,Michael Johansen
53,Andrew Fish
54,Silver Lätt
55,Joona Heinänen
56,Luukas Rokkanen
57,Casey White
58,Cole Redalen
59,Mikael Häme
60,Chandler Fry
61,Ville Ahokas
62,Terry Rothlisberger
63,Mikael Räsänen
64,Colten Montgomery
65,Leo Piironen
66,Philo Brathwaite
67,Aaron Gossage
68,Austin Hoop
69,Eric Oakley
70,Severi Saviniemi
71,Oskari Vikström
72,Brodie Smith
73,Luke Samson
74,Noah Meintsma
75,Paul Oman
76,Dustin Keegan
77,Tuomas Hyytiäinen
78,Zach Melton
79,Luke Humphries
80,Niko Rättyä
81,Daniel Davidsson
82,Samuel Stenman
83,AJ Carey
84,Kade Filimoehala
85,Sam Lee
86,Janne Hirsimäki
87,Gavin Babcock
88,Lance Brown
89,Noah Fiveash
90,Joonas Aalto
91,Samuel Hänninen
92,Logan Harpool
93,Kristian Kuoksa
94,Joonatan Häme
95,Elias Luukkonen
96,Jordan Castro
97,Reid Frescura
98,Tuomas Autio
99,Patrick Brown
100,Jonathan Nicholson
101,Joonas Kuitunen
102,Riku Vink
103,Jaakko Kankare
104,Vincent Polidori
105,Nate Perkins
106,Seth Talbott
107,Brian Earhart
108,Dan Brooks-Wells
109,Mike Carman
110,Zach Arlinghaus
111,Cameron Messerschmidt
112,Elijah Bickel
113,Saku Poikonen
114,Bartosz Kowalewski
115,Jere Kukkurainen
116,Nicholas Carl
117,Charles Behrhorst
118,Alan Wagner
119,GT Hancock
120,Teemu Lampainen
121,Tristan Tanner
122,Topias Jokinen
123,Otto Karpio
124,Levi Hancock
125,Jake Hebenheimer
126,Lenni Kemppainen
127,Sam Drummond
128,Tanner Girouard
129,Jooa Saari
130,Jani Kleemola
131,Ian Burchett
132,Henry Manahan
133,Trevor Harbolt
134,Kennan Johnson
135,Phill Diloné
136,Otto Lehtonen
137,Mikko Ahjoniemi
138,Jonathan Propalis
139,Jaakko Ikonen
140,Matt Polson
141,Leevi Isotalo
142,Alex Lyon
143,Trevon Crowe
144,John Bryan Willis II
145,Quintin Becker
146,Joey Temali
147,Veeti Väätänen
148,Ismo Sutela
149,Rasmus Tuominen
150,Aapo Karhi
151,Teemu Kaarela
152,Kyle Griffin
153,Aidan Guthrie
154,Matti Alho
155,Kyle Divelbiss
156,Brandon Hauer
157,Michael Hoffman
158,Pekka Hyvönen
159,Kasper Kivi
160,Tuomas Laihanen
161,Eljas Saarinen
162,Jared Stoll
163,Aleksi Lohtander
164,Viljami Männikkö
165,William Schram
166,Simo Luoma
